epoch	p920	p921	p922
1788095016.261	0/0	0/0	0/0
1788095016.307	0/0	0/0	0/0
1788095016.369	0/0	0/0	0/0
1788095016.416	0/0	0/0	0/0
1788095016.457	0/0	0/0	0/0
1788095016.496	0/0	0/0	0/0
1788095016.534	0/0	0/0	0/0
1788095016.571	0/0	0/0	0/0
1788095016.604	0/0	0/0	0/0
1788095016.634	0/0	0/0	0/0
1788095016.660	0/0	0/0	0/0
1788095016.683	0/0	0/0	0/0
1788095016.705	0/0	0/0	0/0
1788095016.724	0/0	0/0	0/0
1788095016.741	0/0	0/0	0/0
1788095016.757	0/0	0/0	0/0
1788095016.772	0/0	0/0	0/0
1788095016.788	0/0	0/0	0/0
1788095016.804	0/0	0/0	0/0
1788095016.819	0/0	0/0	0/0
1788095016.835	0/0	0/0	0/0
1788095016.851	0/0	0/0	0/0
1788095016.867	0/0	0/0	0/0
1788095016.882	0/0	0/0	0/0
1788095016.898	0/0	0/0	0/0
1788095016.914	0/0	0/0	0/0
1788095016.930	0/0	0/0	0/0
1788095016.946	0/0	0/0	0/0
1788095016.962	0/0	0/0	0/0
1788095016.978	0/0	0/0	0/0
1788095016.994	0/0	0/0	0/0
1788095017.010	0/0	0/0	0/0
1788095017.027	0/0	0/0	0/0
1788095017.043	0/0	0/0	0/0
1788095017.058	0/0	0/0	0/0
1788095017.075	0/0	0/0	0/0
1788095017.092	0/0	0/0	0/0
1788095017.108	0/0	0/0	0/0
1788095017.129	0/0	0/0	0/0
1788095017.153	0/0	0/0	0/0
1788095017.175	0/0	0/0	0/0
1788095017.198	0/0	0/0	0/0
1788095017.222	0/0	0/0	0/0
1788095017.248	0/0	0/0	0/0
1788095017.276	0/0	0/0	0/0
1788095017.306	0/0	0/0	0/0
1788095017.335	0/0	0/0	0/0
1788095017.365	0/0	0/0	0/0
1788095017.396	0/0	0/0	0/0
1788095017.429	0/0	0/0	0/0
1788095017.464	0/0	0/0	0/0
1788095017.500	0/0	0/0	0/0
1788095017.537	0/0	0/0	0/0
1788095017.576	0/0	0/0	0/0
1788095017.616	0/0	0/0	0/0
1788095017.657	0/0	0/0	0/0
1788095017.701	0/0	0/0	0/0
1788095017.755	0/0	0/0	0/0
1788095017.808	0/0	0/0	0/0
1788095017.855	0/0	0/0	0/0
1788095017.897	0/0	0/0	0/0
1788095017.938	0/0	0/0	0/0
1788095017.980	0/0	0/0	0/0
1788095018.023	0/0	0/0	0/0
1788095018.065	0/0	0/0	0/0
1788095018.107	0/0	0/0	0/0
1788095018.150	0/0	0/0	0/0
1788095018.194	0/0	0/0	0/0
