rep	prio	sample	t_since_post_ms	req_ms	n_entries	n_phantom	n_real
3	913	84	11225.9	37.2	1282	0	0
3	913	85	11772.4	37.7	1282	0	0
3	913	86	12318.1	36.8	1282	0	0
3	913	87	12863.6	37.1	1282	0	0
3	913	88	13407.8	36.5	1282	0	0
3	913	89	13955.2	39.0	1282	0	0
3	913	90	14501.3	36.9	1282	0	0
3	913	91	15047.7	38.4	1282	0	0
3	913	92	15598.9	41.9	1282	0	0
3	913	93	16145.7	38.9	1282	0	0
3	913	94	16693.3	37.2	1282	0	0
3	913	95	17257.2	54.6	1282	0	0
3	913	96	17808.5	38.7	1282	0	0
4	914	0	50.2	41.3	1283	1	0
4	914	1	101.7	41.4	1283	1	0
4	914	2	146.7	37.8	1283	1	0
4	914	3	190.3	35.6	1283	1	0
4	914	4	240.4	41.7	1283	1	0
4	914	5	286.9	35.4	1283	1	0
4	914	6	350.7	54.7	1283	1	0
4	914	7	395.7	34.3	1283	1	0
4	914	8	437.9	34.0	1283	1	0
4	914	9	481.1	34.5	1283	1	0
4	914	10	523.6	34.0	1283	1	0
4	914	11	569.1	36.6	1283	1	0
4	914	12	612.2	36.0	1283	1	0
4	914	13	654.7	35.0	1283	1	0
4	914	14	701.1	39.6	1283	1	0
4	914	15	746.4	36.7	1283	1	0
4	914	16	788.7	35.7	1283	1	0
4	914	17	833.4	34.6	1283	1	0
4	914	18	874.2	33.1	1283	1	0
4	914	19	913.8	33.6	1283	1	0
4	914	20	952.5	32.7	1283	1	0
4	914	21	990.4	32.0	1283	1	0
4	914	22	1028.6	32.3	1283	1	0
4	914	23	1067.4	32.4	1283	1	0
4	914	24	1105.9	32.6	1283	1	0
4	914	25	1144.5	32.5	1283	1	0
4	914	26	1183.0	32.8	1283	1	0
4	914	27	1218.3	30.1	1283	1	0
4	914	28	1253.1	26.7	1283	1	0
4	914	29	1322.3	62.9	1283	1	0
4	914	30	1365.7	36.0	1283	1	0
4	914	31	1413.0	40.2	1283	1	0
4	914	32	1457.4	36.4	1283	1	0
4	914	33	1498.2	33.3	1283	1	0
4	914	34	1539.6	33.4	1283	1	0
4	914	35	1580.4	32.6	1283	1	0
4	914	36	1621.9	33.1	1283	1	0
4	914	37	1663.2	34.5	1283	1	0
4	914	38	1706.5	36.0	1283	1	0
4	914	39	1747.6	33.7	1283	1	0
4	914	40	1791.0	33.9	1283	1	0
4	914	41	1837.5	36.7	1283	1	0
4	914	42	1878.4	33.0	1283	1	0
4	914	43	1928.9	39.9	1283	1	0
4	914	44	1970.1	34.7	1283	1	0
4	914	45	2012.7	34.2	1283	1	0
4	914	46	2058.9	37.9	1283	1	0
4	914	47	2101.2	33.4	1283	1	0
4	914	48	2143.0	32.6	1283	1	0
4	914	49	2184.7	33.3	1283	1	0
4	914	50	2227.3	33.7	1283	1	0
4	914	51	2269.9	33.6	1283	1	0
4	914	52	2332.4	56.1	1283	1	0
4	914	53	2371.8	32.4	1283	1	0
4	914	54	2416.5	38.7	1283	1	0
4	914	55	2470.0	43.7	1283	1	0
4	914	56	2512.3	34.5	1283	1	0
4	914	57	2554.9	33.4	1283	1	0
4	914	58	2601.4	37.6	1283	1	0
4	914	59	2647.3	37.2	1283	1	0
4	914	60	2692.2	37.0	1283	1	0
4	914	61	2734.9	34.2	1283	1	0
4	914	62	2776.4	33.3	1283	1	0
4	914	63	2818.8	33.6	1283	1	0
4	914	64	2859.8	33.4	1283	1	0
4	914	65	2902.2	33.4	1283	1	0
4	914	66	2943.5	33.2	1283	1	0
4	914	67	2985.7	33.1	1283	1	0
4	914	68	3027.6	33.7	1283	1	0
4	914	69	3578.6	43.1	1283	1	0
4	914	70	4130.3	43.3	1283	1	0
4	914	71	4677.6	40.0	1283	1	0
4	914	72	5223.6	37.2	1283	1	0
4	914	73	5769.7	37.4	1283	1	0
4	914	74	6330.6	53.5	1283	1	0
4	914	75	6877.1	38.6	1283	1	0
4	914	76	7431.4	43.2	1283	1	0
4	914	77	7985.2	42.2	1283	1	0
4	914	78	8529.5	36.5	1282	0	0
4	914	79	9077.0	38.8	1282	0	0
4	914	80	9626.9	41.3	1282	0	0
4	914	81	10172.1	37.2	1282	0	0
4	914	82	10718.1	38.3	1282	0	0
4	914	83	11267.9	41.1	1282	0	0
4	914	84	11815.9	38.1	1282	0	0
4	914	85	12359.2	35.3	1282	0	0
4	914	86	12904.7	37.7	1282	0	0
4	914	87	13452.0	37.6	1282	0	0
4	914	88	13995.2	36.6	1282	0	0
4	914	89	14544.7	41.9	1282	0	0
4	914	90	15088.8	37.1	1282	0	0
4	914	91	15641.8	42.8	1282	0	0
4	914	92	16194.4	43.7	1282	0	0
4	914	93	16741.0	38.2	1282	0	0
4	914	94	17287.7	38.9	1282	0	0
4	914	95	17835.8	39.5	1282	0	0
5	915	0	42.7	36.3	1283	1	0
5	915	1	81.9	33.1	1283	1	0
5	915	2	122.3	34.4	1283	1	0
5	915	3	162.9	34.3	1283	1	0
5	915	4	204.2	34.6	1283	1	0
5	915	5	244.4	34.0	1283	1	0
5	915	6	289.0	37.4	1283	1	0
5	915	7	330.4	35.3	1283	1	0
5	915	8	378.8	38.7	1283	1	0
5	915	9	424.6	38.9	1283	1	0
5	915	10	467.6	36.6	1283	1	0
5	915	11	518.1	38.9	1283	1	0
5	915	12	569.2	40.7	1283	1	0
5	915	13	615.0	37.3	1283	1	0
5	915	14	655.4	34.3	1283	1	0
5	915	15	694.2	32.6	1283	1	0
5	915	16	733.2	33.1	1283	1	0
5	915	17	772.0	32.8	1283	1	0
5	915	18	809.1	31.3	1283	1	0
5	915	19	846.2	31.5	1283	1	0
5	915	20	888.2	36.1	1283	1	0
5	915	21	937.4	41.5	1283	1	0
5	915	22	1014.1	67.4	1283	1	0
5	915	23	1063.1	37.1	1283	1	0
5	915	24	1109.4	40.0	1283	1	0
5	915	25	1151.2	35.4	1282	0	0
5	915	26	1190.7	33.4	1282	0	0
5	915	27	1232.7	34.6	1282	0	0
5	915	28	1273.0	32.6	1282	0	0
5	915	29	1314.5	33.2	1282	0	0
5	915	30	1354.7	32.8	1282	0	0
5	915	31	1402.7	40.1	1282	0	0
5	915	32	1448.3	34.9	1282	0	0
5	915	33	1494.7	37.7	1282	0	0
5	915	34	1534.7	32.3	1282	0	0
5	915	35	1576.3	32.7	1282	0	0
5	915	36	1623.7	32.7	1282	0	0
5	915	37	1663.7	32.3	1282	0	0
5	915	38	1708.0	34.0	1282	0	0
5	915	39	1753.4	37.1	1282	0	0
5	915	40	1793.0	32.1	1282	0	0
5	915	41	1833.4	31.6	1282	0	0
5	915	42	1873.3	32.9	1282	0	0
5	915	43	1913.7	32.3	1282	0	0
5	915	44	1992.3	72.1	1282	0	0
5	915	45	2036.3	36.7	1282	0	0
5	915	46	2085.5	42.1	1282	0	0
5	915	47	2124.1	32.6	1282	0	0
5	915	48	2165.9	33.7	1282	0	0
5	915	49	2209.9	34.0	1282	0	0
5	915	50	2254.6	37.4	1282	0	0
5	915	51	2295.5	34.6	1282	0	0
5	915	52	2346.9	41.7	1282	0	0
5	915	53	2390.6	36.8	1282	0	0
5	915	54	2428.7	32.2	1282	0	0
5	915	55	2466.6	32.0	1282	0	0
5	915	56	2504.4	32.0	1282	0	0
5	915	57	2542.3	32.1	1282	0	0
5	915	58	2580.2	31.8	1282	0	0
5	915	59	2617.6	31.5	1282	0	0
5	915	60	2655.2	31.7	1282	0	0
5	915	61	2688.6	28.3	1282	0	0
5	915	62	2718.6	25.2	1282	0	0
5	915	63	2745.6	22.9	1282	0	0
5	915	64	2774.1	21.8	1282	0	0
5	915	65	2808.0	23.7	1282	0	0
5	915	66	2842.9	27.3	1282	0	0
5	915	67	2880.2	29.2	1282	0	0
5	915	68	2918.0	30.5	1282	0	0
5	915	69	2967.1	41.4	1282	0	0
5	915	70	3001.9	27.1	1282	0	0
5	915	71	3547.6	37.3	1282	0	0
5	915	72	4098.0	42.1	1282	0	0
5	915	73	4645.6	39.2	1282	0	0
5	915	74	5189.1	37.0	1282	0	0
5	915	75	5737.4	37.7	1282	0	0
5	915	76	6283.7	37.8	1282	0	0
5	915	77	6829.8	37.7	1282	0	0
5	915	78	7376.2	38.6	1282	0	0
5	915	79	7921.2	36.7	1282	0	0
5	915	80	8474.1	41.1	1282	0	0
5	915	81	9021.1	38.2	1282	0	0
5	915	82	9569.7	37.8	1282	0	0
5	915	83	10118.1	38.4	1282	0	0
5	915	84	10664.2	39.1	1282	0	0
5	915	85	11214.8	41.8	1282	0	0
5	915	86	11760.2	37.1	1282	0	0
5	915	87	12308.4	39.6	1282	0	0
5	915	88	12856.1	37.2	1282	0	0
5	915	89	13401.6	38.1	1282	0	0
5	915	90	13945.7	37.0	1282	0	0
5	915	91	14491.9	38.7	1282	0	0
5	915	92	15037.5	37.1	1282	0	0
5	915	93	15583.6	37.9	1282	0	0
5	915	94	16130.0	37.2	1282	0	0
5	915	95	16674.4	36.4	1282	0	0
5	915	96	17222.7	35.9	1282	0	0
5	915	97	17769.6	39.9	1282	0	0
