rep	prio	sample	t_since_post_ms	req_ms	n_entries	n_phantom	n_real
2	912	71	3584.2	36.8	1283	1	0
2	912	72	4133.7	41.9	1283	1	0
2	912	73	4684.1	40.8	1283	1	0
2	912	74	5228.7	37.1	1283	1	0
2	912	75	5777.1	38.3	1283	1	0
2	912	76	6325.4	37.9	1283	1	0
2	912	77	6871.6	39.2	1283	1	0
2	912	78	7411.9	33.6	1283	1	0
2	912	79	7969.8	46.2	1282	0	0
2	912	80	8524.4	44.4	1282	0	0
2	912	81	9071.9	40.1	1282	0	0
2	912	82	9638.7	60.9	1282	0	0
2	912	83	10182.6	37.7	1282	0	0
2	912	84	10731.6	43.0	1282	0	0
2	912	85	11283.3	43.2	1282	0	0
2	912	86	11825.8	36.2	1282	0	0
2	912	87	12371.4	38.2	1282	0	0
2	912	88	12932.3	53.1	1282	0	0
2	912	89	13481.3	40.2	1282	0	0
2	912	90	14028.3	39.3	1282	0	0
2	912	91	14573.5	36.7	1282	0	0
2	912	92	15118.6	37.7	1282	0	0
2	912	93	15661.1	34.8	1282	0	0
2	912	94	16206.2	36.6	1282	0	0
2	912	95	16751.3	37.5	1282	0	0
2	912	96	17296.0	37.1	1282	0	0
2	912	97	17840.4	37.1	1282	0	0
3	913	0	46.9	36.9	1283	1	0
3	913	1	94.4	39.2	1283	1	0
3	913	2	134.7	32.6	1283	1	0
3	913	3	195.1	53.2	1283	1	0
3	913	4	235.3	32.5	1283	1	0
3	913	5	277.4	33.5	1283	1	0
3	913	6	330.4	39.3	1283	1	0
3	913	7	377.0	39.0	1283	1	0
3	913	8	418.5	34.1	1283	1	0
3	913	9	458.0	32.2	1283	1	0
3	913	10	500.1	34.6	1283	1	0
3	913	11	540.4	32.6	1283	1	0
3	913	12	583.0	35.1	1283	1	0
3	913	13	622.9	32.6	1283	1	0
3	913	14	664.3	32.7	1283	1	0
3	913	15	705.5	33.6	1283	1	0
3	913	16	746.4	33.7	1283	1	0
3	913	17	788.7	33.4	1283	1	0
3	913	18	830.3	34.0	1283	1	0
3	913	19	872.5	34.0	1283	1	0
3	913	20	912.6	32.7	1283	1	0
3	913	21	953.5	33.3	1283	1	0
3	913	22	994.0	32.9	1283	1	0
3	913	23	1034.4	33.0	1283	1	0
3	913	24	1074.9	32.6	1283	1	0
3	913	25	1115.6	32.9	1283	1	0
3	913	26	1157.2	33.5	1283	1	0
3	913	27	1218.4	53.6	1283	1	0
3	913	28	1259.5	32.8	1283	1	0
3	913	29	1301.4	33.2	1283	1	0
3	913	30	1341.7	32.8	1283	1	0
3	913	31	1384.9	32.9	1283	1	0
3	913	32	1425.3	32.6	1283	1	0
3	913	33	1465.8	32.9	1283	1	0
3	913	34	1507.2	33.4	1283	1	0
3	913	35	1548.0	33.0	1283	1	0
3	913	36	1588.9	32.9	1283	1	0
