t_since_post_s	southbound	kernel_view
3.792	True	phantom
3.797	True	phantom
3.803	True	phantom
3.808	True	phantom
3.813	True	phantom
3.819	True	phantom
3.824	True	phantom
3.829	True	phantom
3.834	True	phantom
3.839	True	phantom
3.843	True	phantom
3.848	True	phantom
3.853	True	phantom
3.858	True	phantom
3.863	True	phantom
3.869	True	phantom
3.875	True	phantom
3.880	True	phantom
3.886	True	phantom
3.890	True	phantom
3.895	True	phantom
3.899	True	phantom
3.904	True	phantom
3.909	True	phantom
3.913	True	phantom
3.918	True	phantom
3.923	True	phantom
3.927	True	phantom
3.933	True	phantom
3.938	True	phantom
3.943	True	phantom
3.948	True	phantom
3.953	True	phantom
3.958	True	phantom
3.963	True	phantom
3.968	True	phantom
3.973	True	phantom
3.979	True	phantom
3.985	True	phantom
3.992	True	phantom
3.998	True	phantom
4.004	True	phantom
4.009	True	phantom
4.014	True	phantom
4.019	True	phantom
4.024	True	phantom
4.029	True	phantom
4.034	True	phantom
4.039	True	phantom
4.044	True	phantom
4.049	True	phantom
4.054	True	phantom
4.059	True	phantom
4.064	True	phantom
4.069	True	phantom
4.074	True	phantom
4.079	True	phantom
4.085	True	phantom
4.090	True	phantom
4.095	True	phantom
4.100	True	phantom
4.105	True	phantom
4.110	True	phantom
4.115	True	phantom
4.120	True	phantom
4.125	True	phantom
4.130	True	phantom
4.135	True	phantom
4.139	True	phantom
4.145	True	phantom
4.150	True	phantom
4.155	True	phantom
4.168	True	phantom
4.174	True	phantom
4.178	True	phantom
4.183	True	phantom
4.188	True	phantom
4.193	True	phantom
4.197	True	phantom
4.202	True	phantom
4.206	True	phantom
4.211	True	phantom
4.216	True	phantom
4.221	True	phantom
4.225	True	phantom
4.230	True	phantom
4.235	True	phantom
4.240	True	phantom
4.245	True	phantom
4.250	True	phantom
4.255	True	phantom
4.260	True	phantom
4.265	True	phantom
4.270	True	phantom
4.275	True	phantom
4.280	True	phantom
4.284	True	phantom
4.289	True	phantom
4.294	True	phantom
4.299	True	phantom
4.304	True	phantom
4.309	True	phantom
4.314	True	phantom
4.319	True	phantom
4.324	True	phantom
4.329	True	phantom
4.334	True	phantom
4.339	True	phantom
4.344	True	phantom
4.349	True	phantom
4.354	True	phantom
4.359	True	phantom
4.364	True	phantom
4.369	True	phantom
4.374	True	phantom
4.378	True	phantom
4.384	True	phantom
4.388	True	phantom
4.393	True	phantom
4.397	True	phantom
4.403	True	phantom
4.408	True	phantom
4.412	True	phantom
4.417	True	phantom
4.422	True	phantom
4.427	True	phantom
4.432	True	phantom
4.437	True	phantom
4.442	True	phantom
4.447	True	phantom
4.452	True	phantom
4.456	True	phantom
4.461	True	phantom
4.465	True	phantom
4.470	True	phantom
4.475	True	phantom
4.480	True	phantom
4.485	True	phantom
4.490	True	phantom
4.495	True	phantom
4.501	True	phantom
4.506	True	phantom
4.511	True	phantom
4.516	True	phantom
4.521	True	phantom
4.525	True	phantom
4.531	True	phantom
4.537	True	phantom
4.542	True	phantom
4.548	True	phantom
4.554	True	phantom
4.559	True	phantom
4.565	True	phantom
4.571	True	phantom
4.575	True	phantom
4.580	True	phantom
4.584	True	phantom
4.589	True	phantom
4.594	True	phantom
4.599	True	phantom
4.604	True	phantom
4.608	True	phantom
4.614	True	phantom
4.619	True	phantom
4.624	True	phantom
4.629	True	phantom
4.635	True	phantom
4.639	True	phantom
4.644	True	phantom
4.648	True	phantom
4.654	True	phantom
4.659	True	phantom
4.664	True	phantom
4.669	True	phantom
4.674	True	phantom
4.678	True	phantom
4.683	True	phantom
4.688	True	phantom
4.693	True	phantom
4.697	True	phantom
4.702	True	phantom
4.707	True	phantom
4.711	True	phantom
4.716	True	phantom
4.721	True	phantom
4.725	True	phantom
4.729	True	phantom
4.734	True	phantom
4.738	True	phantom
4.742	True	phantom
4.746	True	phantom
4.750	True	phantom
4.755	True	phantom
4.759	True	phantom
4.763	True	phantom
4.767	True	phantom
4.772	True	phantom
4.776	True	phantom
4.780	True	phantom
4.784	True	phantom
4.789	True	phantom
4.793	True	phantom
4.797	True	phantom
4.801	True	phantom
4.806	True	phantom
4.811	True	phantom
4.815	True	phantom
4.820	True	phantom
4.824	True	phantom
4.828	True	phantom
4.832	True	phantom
4.836	True	phantom
4.840	True	phantom
4.844	True	phantom
4.848	True	phantom
4.853	True	phantom
4.857	True	phantom
4.861	True	phantom
4.866	True	phantom
4.870	True	phantom
4.874	True	phantom
4.878	True	phantom
4.881	True	phantom
4.885	True	phantom
4.890	True	phantom
4.893	True	phantom
4.897	True	phantom
4.901	True	phantom
4.905	True	phantom
4.909	True	phantom
4.914	True	phantom
4.919	True	phantom
4.923	True	phantom
4.927	True	phantom
4.932	True	phantom
4.936	True	phantom
4.940	True	phantom
4.944	True	phantom
4.949	True	phantom
4.953	True	phantom
4.957	True	phantom
4.961	True	phantom
4.966	True	phantom
4.970	True	phantom
4.974	True	phantom
4.978	True	phantom
4.982	True	phantom
4.986	True	phantom
4.990	True	phantom
4.994	True	phantom
4.998	True	phantom
5.002	True	phantom
5.007	True	phantom
5.011	True	phantom
5.015	True	phantom
5.019	True	phantom
5.023	True	phantom
5.026	True	phantom
5.032	True	phantom
5.036	True	phantom
5.040	True	phantom
5.044	True	phantom
5.049	True	phantom
5.055	True	phantom
5.059	True	phantom
5.064	True	phantom
5.068	True	phantom
5.072	True	phantom
5.076	True	phantom
5.081	True	phantom
5.085	True	phantom
5.089	True	phantom
5.093	True	phantom
