part	poll_mono	written_mono	status	last_heard_mono
single	48594.676028	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48594.776344	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48594.876697	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48594.977045	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.077384	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.177769	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.278251	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.378527	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.478832	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.579175	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.679452	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.779725	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.880003	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48595.980254	48595.922853	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48596.080527	48595.922853	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48596.180812	48595.922853	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48596.281043	48595.922853	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48596.381310	48595.922853	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48596.481571	48596.423842	running	1:3>3:1=48575.923622,3:1>1:3=48595.923242
single	48596.581833	48596.423842	running	1:3>3:1=48575.923622,3:1>1:3=48595.923242
single	48596.682063	48596.423842	running	1:3>3:1=48575.923622,3:1>1:3=48595.923242
single	48596.782317	48596.423842	running	1:3>3:1=48575.923622,3:1>1:3=48595.923242
single	48596.882599	48596.423842	running	1:3>3:1=48575.923622,3:1>1:3=48595.923242
